agent_name,ability_used,match_map,title,link
,,,,
reyna,Leer,ascent,A Tree to A Site Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(20)reyna-ascent-both-asite-atree-leer.mp4
,,,,
reyna,Leer,ascent,B Tiles to Mid Courtyard Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(19)reyna-ascent-atk-midcourtyard-btiles-leer.mp4
,,,,
reyna,Leer,ascent,A Window to A Rafter Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(18)reyna-ascent-both-arafters-awindow-leer.mp4
,,,,
reyna,Leer,ascent,A Rafter to A Site Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(17)reyna-ascent-def-asite-arafters-leer.mp4
,,,,
reyna,Leer,ascent,A Site to A Main Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(16)reyna-ascent-def-amain-asite-leer.mp4
,,,,
reyna,Leer,ascent,A Rafter to A Under Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(15)reyna-ascent-def-arafters-arafters-leer.mp4
,,,,
reyna,Leer,ascent,A Tree to Mid Catwalk Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(14)reyna-ascent-def-midcatwalk-atree-leer.mp4
,,,,
reyna,Leer,ascent,A Main to A Site Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(13)reyna-ascent-atk-asite-amain-leer.mp4
,,,,
reyna,Leer,ascent,A Wine to A Main Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(12)reyna-ascent-def-amain-awine-leer.mp4
,,,,
reyna,Leer,ascent,A Lobby to A Main Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(11)reyna-ascent-atk-amain-alobby-leer.mp4
,,,,
reyna,Leer,ascent,Mid Courtyard to Mid Bottom Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(10)reyna-ascent-atk-midbottom-midcourtyard-leer.mp4
,,,,
reyna,Leer,ascent,Defender Spawn to B Site Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(9)reyna-ascent-def-bsite-ctspawn-leer.mp4
,,,,
reyna,Leer,ascent,B Main to B Site Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(8)reyna-ascent-atk-bsite-bmain-leer.mp4
,,,,
reyna,Leer,ascent,B Lobby to B Main Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(7)reyna-ascent-atk-bmain-blobby-leer.mp4
,,,,
reyna,Leer,ascent,B Switch to B Site Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(6)reyna-ascent-both-bsite-bswitch-leer.mp4
,,,,
reyna,Leer,ascent,Boathouse to B Site Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(5)reyna-ascent-both-bsite-bboathouse-leer.mp4
,,,,
reyna,Leer,ascent,Defender Spawn to Mid Market Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(4)reyna-ascent-def-midmarket-ctspawn-leer.mp4
,,,,
reyna,Leer,ascent,B Market to Mid Courtyard Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(3)reyna-ascent-def-midcourtyard-bmarket-leer.mp4
,,,,
reyna,Leer,ascent,B Market to B Site Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(2)reyna-ascent-def-bsite-bmarket-leer.mp4
,,,,
reyna,Leer,ascent,B Site to B Main Leer,https://blitz-cdn-videos.blitz.gg/valorant/guides/(1)reyna-ascent-def-bmain-bsite-leer.mp4
,,,,
